image_path,image_section,have_wrapping,have_fov_clipping,have_ringing,have_striping,have_blurring,have_shadowed_arc,have_rf_noise,have_spiking,have_signal_loss,have_unexpected_inhomogeneity,have_ghosting,have_motion_slice,have_unknown
/mnt/cabinaData/openmind/xnat_download_10k/all/10kdscv07/ceibcs_S05828/ceibcs_E06066/scans/5/resources/NIFTI/files/121241135321210529618432015102210074712557784-5-1-9dtqdbNFCEREBRAL5s005a1001.nii.gz,8,False,False,False,False,False,False,False,False,False,False,False,False,True
/mnt/cabinaData/openmind/xnat_download_10k/all/10kdscv17_rev/ceibcs_S03948/ceibcs_E04105/scans/13/resources/NIFTI/files/12840113619218210808617219229142133242997374-13-1-1qa9rg1AxT2PROPELLERs013a1001.nii.gz,15,False,False,False,False,False,False,False,False,False,False,False,False,True
/mnt/cabinaData/openmind/xnat_download_10k/all/10kdscv08/ceibcs_S03816/ceibcs_E03969/scans/2/resources/NIFTI/files/121241135328022188620140103120153376827721-2-1-6rplmeSAGITALT1s002a001.nii.gz,14,False,False,False,False,False,False,False,False,False,False,False,False,False
/mnt/cabinaData/openmind/xnat_download_10k/all/10kdscv07/ceibcs_S06731/ceibcs_E07053/scans/8/resources/NIFTI/files/121241135321210529618432015091412231484628303-8-3-y9avt6NFVASCULARCEREBRAL7s008a1001.nii.gz,0,False,False,False,False,False,False,False,False,False,False,False,False,True
/mnt/cabinaData/openmind/xnat_download_10k/all/10kdscv19/ceibcs_S03332/ceibcs_E03480/scans/402/resources/NIFTI/files/x216840111366964014276396911922015092091736493-402-4-cpk3peRegDWISENSEs402a1004.nii.gz,15,False,False,False,False,False,False,True,False,False,False,False,False,False
/mnt/cabinaData/openmind/xnat_download_10k/all/10kdscv04/ceibcs02_S13883/ceibcs02_E55550/scans/3/resources/NIFTI/files/1.2.840.113619.2.222.2025.1615202.9507.1475817632.981_COR_PC.nii.gz,0,False,False,False,False,False,False,False,False,False,False,False,False,True
/mnt/cabinaData/openmind/xnat_download_10k/all/10kdscv05/ceibcs_S06049/ceibcs_E08448/scans/5/resources/NIFTI/files/121241135328022151152014091716554835350909-5-1-134t7g8EMVOLUMETRIACEREBCERs005a1001.nii.gz,23,True,False,False,False,False,False,False,False,False,False,False,False,False
/mnt/cabinaData/openmind/xnat_download_10k/all/10kdscv05/ceibcs_S07670/ceibcs_E08198/scans/22/resources/NIFTI/files/121241135328022151152014070819470596078439-22-1-15ilqq6CEREBRALDRACALABUIGs022a1001.nii.gz,32,False,False,False,False,False,False,True,False,False,False,False,False,False
/mnt/cabinaData/openmind/xnat_download_10k/all/10kdscv07/ceibcs_S06889/ceibcs_E07266/scans/1/resources/NIFTI/files/121241135321210529618432015013013225962212897-1-6-wakmv0NFCEREBRAL2012s001a1001.nii.gz,2,True,False,False,False,False,False,True,False,False,False,False,False,False
/mnt/cabinaData/openmind/xnat_download_10k/all/10kdscv18/ceibcs_S02671/ceibcs_E02746/scans/1701/resources/NIFTI/files/12840113619218210808617218121141399467030195-1701-1-16f57tjNEURONAVSENSEs1701a1017.nii.gz,51,False,False,False,False,False,False,False,False,False,True,False,False,False
